ErrorCode;ErrorMessage;ErrorType;CreateCase;CircuitBreaker;HTTPStatusCode;APIname;BSLProcess
AFTR000001;Unknow error during file transfer Top Layer process;Business;false;false;500;;
AFTR000400;Bad Request;Business;false;false;400;;
AFTC515105;Error received from DMS/files service;System;false;false;500;;
AFTC515106;Technical error during SFTP get file from source;System;false;false;500;;
AFTC515107;Technical error during SFTP get file from source;System;false;false;500;;
AFTC515108;Unknown error during INT5151 file transfer orchestration process;Business;false;false;400;;
AFTC515109;Technical error during SFTP move file to ERROR folder;System;false;false;500;;
AFTC515110;(SFTP)Technical error  moving related files from source to target folder;System;false;false;500;;
BSBS000001;System Error occured preparing the json request for AODocs API insertDocument call ;System;false;false;500;;
BSBS000002;Generic System Error occured preparing the json request for AODocs API insertDocument call ;System;false;false;500;;
BSBS000003;Generic System Error occurred extracting BankStatement Data from PDF Properties;System;false;false;500;;
BSBS000004;System Error while extracting BankStatement data from a positional csv format;System;false;false;500;;
BSBS000005;System Error while extracting BankStatement data from a keyvalue csv format;System;false;false;500;;
BSBS000006;Generic System Error occurred mapping BankStatement Data into BS AoDocs Class ;System;false;false;500;;
BSBS000007;Generic Error occured during the Create BS Document  process ;System;false;false;500;;
BSBS000020;Wrong configuration. Please check the current configuration.;System;false;false;500;;
BSBS000021;Error occurred inside BankStatement DataCleansing Process;System;false;false;500;;
BSBS000022;Unknown Bank code from Configuration;System;false;false;500;;
BSBS000023;missing DocumentType;Business;false;false;500;;
EFMG000001;Error Occured during the File-Error Management subprocess;System;false;false;500;;
CUSF000001;Business error creating MD5 checksum;Business;false;false;400;;
CUSF000002;Business error generating UnixTimeStamp;Business;false;false;400;;
CUSF000003;Business error rendering the paylod to create the JWT;Business;false;false;400;;
CUSF000004;Business error creating the JWT;Business;false;false;400;;
CUSF000005;Unknow error during "encrypt_JWT" process;Business;false;false;400;;
CUSF000006;Business error unixtimestampGenerator process ;Business;false;false;400;;
CUSF000007;Business error PDFAPropertyExtractor;System;false;false;400;;
CUSF000008;System error during the parsing of the PDF using pdfbox;System;false;false;500;;
CUSF000009;Unable to extract PDF properties using pdfbox;System;false;false;500;;
CUSF000010;System error during the parsing of the PDF XML containing the properties;System;false;false;500;;
CUSF000011;Unable to extract PDFA properties;System;false;false;500;;
CONFCO000001;[ERROR]  System error inside the AuthorizationManager Process;System;false;false;;;
CONFCO000002;[ERROR]  System Exception time out inside GetAuthConfiguration process;System;false;false;;;
CONFCO000003;[ERROR]  Business Error inside GetAuthConfiguration process;Business;false;false;;;
CONFCO000004;[ERROR]  System exception error in http communication inside GetAuthConfiguration process;System;false;false;;;
CONFCO000005;[ERROR]  System Exception  Http Server Exception inside GetAuthConfiguration process;System;false;false;;;
CONFCO000006;[ERROR]  Unknow error inside GetAuthConfiguration process;Business;false;false;;;
CONFCO000007;[ERROR]  System Exception time out inside GetGoogleGroup process;System;false;false;;;
CONFCO000008;[ERROR]  Business Error inside GetGoogleGroup process;Business;false;false;;;
CONFCO000009;[ERROR]  System exception error in http communication inside GetGoogleGroup process;System;false;false;;;
CONFCO000010;[ERROR]  System Exception  Http Server Exception inside GetGoogleGroup process;System;false;false;;;
CONFCO000011;[ERROR]  Unknow error inside GetGoogleGroup process;Business;false;false;;;
CONFCO000012;[ERROR]  System Exception time out inside GetLibrary process;System;false;false;;;
CONFCO000013;[ERROR]  Business Error inside GetLibrary process;Business;false;false;;;
CONFCO000014;[ERROR]  System exception error in http communication inside GetLibrary process;System;false;false;;;
CONFCO000015;[ERROR]  System Exception  Http Server Exception inside GetLibrary process;System;false;false;;;
CONFCO000016;[ERROR]  Unknow error inside GetLibrary process;Business;false;false;;;
CONFCO000017;[ERROR]  Empty username provided;System;false;false;400;;
CONFCO000018;[ERROR]  Validation error inside GetAoDocsMappingTable process;Business;false;false;;;
CONFCO000019;[ERROR]  Technical error inside GetAoDocsMappingTable process;Business;false;false;;;
CONFCO000020;[ERROR]  System Exception time out inside GetAoDocsMappingTable process;System;false;false;;;
CONFCO000021;[ERROR]  System exception error in http communication inside GetAoDocsMappingTable process;System;false;false;;;
CONFCO000030;[ERROR]  System Exception inside GetBSFilePoller process;System;false;false;;;
CONFCO000031;[ERROR]  Business Exception inside GetBSFilePoller process;Business;false;false;;;
CONFCO000032;[ERROR]  Unknown Exception inside GetBSFilePoller process;System;false;false;;;
BACL000001;[ERROR] System Exception time out inside BankAccountList process ;System;false;false;;;
BACL000002;[ERROR] System Exception Http Client Exception inside BankAccountList process;System;false;false;;;
BACL000003;[ERROR] System exception error in http communication inside BankAccountList process;System;false;false;;;
BACL000004;[ERROR] System Exception Http Server Exception inside BankAccountList process;System;false;false;;;
BACL000005;[ERROR] Unknow error inside BankAccountList process;Business;false;false;;;
